"Legislaturperiode";"Patei";"Wahlkreis";"Stimmen";"Stimmenprozent"
16;"MLPD";68;403;0.2
16;"REP";68;473;0.3
16;"SPD";69;57891;33.9
16;"DIE LINKE";69;45006;26.3
16;"CDU";69;42617;24.9
16;"FDP";69;12557;7.3
16;"GRÜNE";69;6537;3.8
16;"NPD";69;4372;2.6
16;"MLPD";69;403;0.2
16;"REP";69;672;0.4
16;"SPD";70;63537;36.2
16;"DIE LINKE";70;47239;26.9
16;"CDU";70;38687;22.0
16;"FDP";70;11612;6.6
16;"GRÜNE";70;9406;5.4
16;"NPD";70;2985;1.7
16;"MLPD";70;724;0.4
16;"REP";70;441;0.3
16;"SPD";71;46559;31.9
16;"DIE LINKE";71;36876;25.3
16;"CDU";71;37437;25.6
16;"FDP";71;12748;8.7
16;"GRÜNE";71;6415;4.4
16;"NPD";71;3370;2.3
16;"MLPD";71;665;0.5
16;"REP";71;529;0.4
16;"SPD";72;56082;31.9
16;"DIE LINKE";72;47205;26.9
16;"CDU";72;43686;24.9
16;"FDP";72;15356;8.7
16;"GRÜNE";72;5577;3.2
16;"NPD";72;4841;2.8
16;"MLPD";72;850;0.5
16;"REP";72;878;0.5
16;"SPD";73;52620;33.0
16;"DIE LINKE";73;42147;26.4
16;"CDU";73;33801;21.2
16;"FDP";73;15034;9.4
16;"GRÜNE";73;10772;6.8
16;"NPD";73;2885;1.8
16;"MLPD";73;930;0.6
16;"REP";73;374;0.2
16;"SPD";74;44955;29.6
16;"DIE LINKE";74;40483;26.6
16;"CDU";74;39561;26.0
16;"FDP";74;13647;9.0
16;"GRÜNE";74;5045;3.3
16;"NPD";74;6383;4.2
16;"MLPD";74;496;0.3
16;"REP";74;594;0.4
16;"SPD";75;51257;30.7
16;"DIE LINKE";75;47097;28.2
16;"CDU";75;41138;24.6
16;"FDP";75;15183;9.1
16;"GRÜNE";75;5112;3.1
16;"NPD";75;5255;3.1
16;"MLPD";75;593;0.4
16;"REP";75;524;0.3
16;"SPD";76;48550;34.7
16;"CDU";76;27047;19.3
16;"DIE LINKE";76;20989;15.0
16;"GRÜNE";76;25309;18.1
16;"FDP";76;10527;7.5
16;"NPD";76;1625;1.2
16;"REP";76;1084;0.8
16;"BüSo";76;263;0.2
16;"PSG";76;115;0.1
16;"MLPD";76;81;0.1
16;"SPD";77;59613;34.6
16;"CDU";77;24750;14.4
16;"DIE LINKE";77;42051;24.4
16;"GRÜNE";77;27181;15.8
16;"FDP";77;9839;5.7
16;"NPD";77;3235;1.9
16;"REP";77;792;0.5
16;"BüSo";77;344;0.2
16;"PSG";77;153;0.1
16;"MLPD";77;116;0.1
16;"SPD";78;48283;33.4
16;"CDU";78;47223;32.7
16;"DIE LINKE";78;8902;6.2
16;"GRÜNE";78;14795;10.2
16;"FDP";78;15541;10.8
16;"NPD";78;1800;1.2
16;"REP";78;1414;1.0
16;"BüSo";78;225;0.2
16;"PSG";78;104;0.1
16;"MLPD";78;35;0.0
16;"SPD";79;49797;36.2
16;"CDU";79;40351;29.4
16;"DIE LINKE";79;9983;7.3
16;"GRÜNE";79;14485;10.5
16;"FDP";79;13593;9.9
16;"NPD";79;1703;1.2
16;"REP";79;1314;1.0
16;"BüSo";79;301;0.2
16;"PSG";79;117;0.1
16;"MLPD";79;96;0.1
16;"SPD";80;54034;30.4
16;"CDU";80;56937;32.0
16;"DIE LINKE";80;9253;5.2
16;"GRÜNE";80;28356;15.9
16;"FDP";80;23027;12.9
16;"NPD";80;1355;0.8
