"Legislaturperiode";"Kandidat";"Partei";"Wahlkreis";"Stimmen";"Stimmenprozent"
17;265;;76;2301;1.76
17;1384;;76;693;0.53
17;3162;"SPD";77;44769;27.42
17;1873;"CDU";77;28374;17.38
17;1806;"DIE LINKE";77;47070;28.83
17;3172;"GRÜNE";77;26674;16.34
17;1824;"FDP";77;9604;5.88
17;1001;"NPD";77;3702;2.27
17;1539;"BüSo";77;1090;0.67
17;196;;77;1396;0.86
17;302;;77;584;0.36
17;3096;"SPD";78;35540;27.45
17;3026;"CDU";78;50554;39.04
17;1762;"DIE LINKE";78;10525;8.13
17;2294;"GRÜNE";78;13875;10.71
17;2937;"FDP";78;13711;10.59
17;1938;"NPD";78;2613;2.02
17;2800;"BüSo";78;879;0.68
17;507;;78;1267;0.98
17;1121;;78;529;0.41
17;2861;"SPD";79;41051;33.19
17;3347;"CDU";79;44994;36.37
17;2010;"DIE LINKE";79;11446;9.25
17;2978;"GRÜNE";79;10853;8.77
17;847;"FDP";79;10612;8.58
17;3169;"NPD";79;2463;1.99
17;1623;"BüSo";79;1245;1.01
17;3377;"MLPD";79;285;0.23
17;1416;;79;752;0.61
17;170;"SPD";80;45691;26.85
17;3382;"CDU";80;66075;38.83
17;2245;"DIE LINKE";80;9325;5.48
17;1889;"GRÜNE";80;27392;16.1
17;317;"FDP";80;15138;8.9
17;1804;"NPD";80;1544;0.91
17;1095;"BüSo";80;462;0.27
17;421;"DIE VIOLETTEN";80;875;0.51
17;3136;"FAMILIE";80;1416;0.83
17;410;;80;830;0.49
17;2146;;80;1437;0.84
17;2013;"SPD";81;47340;32.04
17;2754;"CDU";81;44549;30.16
17;2490;"DIE LINKE";81;9978;6.75
17;2268;"GRÜNE";81;26778;18.13
17;2649;"FDP";81;16397;11.1
17;209;"NPD";81;1187;0.8
17;1174;"BüSo";81;912;0.62
17;480;;81;331;0.22
17;2343;;81;261;0.18
17;2431;"SPD";82;38244;22.58
17;1871;"CDU";82;54971;32.45
17;1296;"DIE LINKE";82;13787;8.14
17;1672;"GRÜNE";82;44506;26.27
17;1628;"FDP";82;13292;7.85
17;1963;"NPD";82;2413;1.42
17;2401;"BüSo";82;1328;0.78
17;2302;;82;854;0.5
17;683;"SPD";83;35168;27.33
17;3259;"CDU";83;39618;30.78
17;1770;"DIE LINKE";83;15852;12.32
17;1553;"GRÜNE";83;18805;14.61
17;1877;"FDP";83;11468;8.91
17;3111;"NPD";83;3356;2.61
17;2715;"MLPD";83;218;0.17
17;2282;"DKP";83;280;0.22
17;1528;;83;1305;1.01
17;3510;;83;316;0.25
17;362;;83;388;0.3
17;130;;83;1924;1.49
17;261;"SPD";84;26415;16.69
17;1785;"CDU";84;18394;11.62
17;3328;"DIE LINKE";84;27796;17.56
17;3095;"GRÜNE";84;73897;46.68
17;1847;"FDP";84;6425;4.06
17;3056;"NPD";84;1791;1.13
17;1988;"DKP";84;649;0.41
17;679;;84;1555;0.98
17;2151;;84;217;0.14
17;3061;;84;918;0.58
17;2163;;84;232;0.15
