"Legislaturperiode";"Wahlkreis";"Gültige Erststimmen";"Gültige Zweitstimmen";"Wähler";"Wahlberechtigte"
17;271;141491;141666;143521;201833
17;272;152531;153183;155522;208654
17;273;142941;143493;146160;208664
17;274;160582;160988;162920;211807
17;275;131994;132358;134143;198437
17;276;149921;150256;153296;215910
17;277;141287;141938;144215;195971
17;278;137949;138790;141401;194304
17;279;152787;153102;155907;220877
17;280;139935;140275;142812;198923
17;281;155144;155683;157681;210636
17;282;153828;154115;156692;225703
17;283;145925;146024;149482;213013
17;284;138530;138671;141835;204619
17;285;137575;138367;141391;200726
17;286;114372;114737;117355;167458
17;287;137374;137687;140167;197671
17;288;122729;123352;125418;177784
17;289;142443;143275;145837;198466
17;290;141697;142041;143896;189559
17;291;158405;159107;161673;218867
17;292;114026;114986;117289;162508
17;293;120474;120888;122655;167789
17;294;127018;128162;130128;181362
17;295;127193;127815;130436;185890
17;296;144014;144580;146713;207292
17;297;155617;156193;159639;214924
17;298;138981;139716;142795;184896
17;299;143916;144378;147047;201442
