Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer;Geschlecht
;"Benjamin";"Dahlhoff";"GRÜNE";1978;447;M
;"Thomas";"Dahlmann";"SPD";1960;448;M
;"Janosch";"Dahmen";"GRÜNE";1981;449;M
"Dr.";"Claudia";"Dalbert";"GRÜNE";1954;450;W
;"Bernhard";"Daldrup";"SPD";1956;451;M
;"Michael";"Dambacher";"CDU";1979;452;M
;"Adolf";"Dammann";"NPD";1939;453;M
"Dr.";"Peter";"Danckert";"SPD";1940;454;M
;"Bernd";"Dannemann";"FWD";1944;455;M
;"Britta";"Dassler";"FDP";1964;456;W
;"Helga";"Daub";"FDP";1942;457;W
;"Gwenn Patrick";"Dauen";"PIRATEN";1980;458;M
;"Horst";"Dauter";;1943;459;M
;"Leo";"Dautzenberg";"CDU";1950;460;M
;"Elfriede Katharina";"Daxlberger";"RRP";1941;461;W
;"Diego";"De Filippi";"Die Tierschutzpartei";1978;462;M
;"Christa";"Debrand";"FAMILIE";1944;463;W
;"Cornelia";"Debus";"FDP";1958;464;W
;"Thomas Michael Matthias";"Decker";"CDU";1972;465;M
;"Wilhelm";"Dedecke";"DIE LINKE";1960;466;M
;"Klaus-Peter";"Dehde";"SPD";1959;467;M
"Dr.";"Jörg-Diether";"Dehm-Desoi";"DIE LINKE";1950;468;M
;"Ekin";"Deligöz";"GRÜNE";1971;469;W
;"Armin";"Demele";"ödp";1962;470;M
;"Erika";"Demuth";"CDU";1982;471;W
;"Hans Günter";"Dennhoven";;1950;472;M
;"Christine";"Denz";"GRÜNE";1948;473;W
;"Theodor";"Denzer";"FDP";1951;474;M
;"Paul";"Derabin";"CDU";1988;475;M
;"Zeynep";"Dere";"DIE LINKE";1964;476;W
;"Tilla-Louise";"Deter";"FDP";1961;477;W
;"Knut Matthias";"Dethlefsen";"SPD";1969;478;M
;"Wiltrud";"Dettmer";;1951;479;W
;"Rudolf";"Dettweiler";;1950;480;M
;"Michael";"Detzler";"CDU";1954;481;M
;"Holger";"Deubel";"NPD";1980;482;M
;"Andreas";"Deuschle";"CDU";1979;483;M
;"Ulrich";"Deuschle";"REP";1952;484;M
;"Paul";"Deutsch";"MLPD";1951;485;M
;"Reiner Peter";"Deutschmann";"FDP";1953;486;M
